spent_usd,n_impressions,n_clicks
1.429999948,7350,1
1.820000023,17861,2
1.25,4259,1
1.289999962,4133,1
4.769999981,15615,3
1.269999981,10951,1
1.5,2355,1
3.159999967,9502,3
10.28000021,14669,7
0.569999993,2305,1
1.690000057,4627,1
4.6300001139999996,21026,4
2.609999895,7132,2
3.049999952,12190,2
3.0599999430000002,12193,2
2.9800000190000002,7440,2
5.5200001,19113,4
1.690000057,10976,2
8.470000148,23817,7
15.82000017,47224,12
1.470000029,2283,1
1.529999971,2182,1
18.06999969,57665,14
1.610000014,3091,1
1.190000057,5014,1
9.220000267,38726,7
1.50999999,5369,1
9.430000067,22221,7
6.9600000380000004,13019,5
1.220000029,2508,1
2.799999952,5864,2
1.600000024,2783,1
1.129999995,3812,1
5.730000019,11199,4
9.379999995,17572,7
5.629999995,13329,4
3.840000033,13659,3
1.039999962,5374,1
1.460000038,4423,1
2.839999914,12382,2
1.350000024,2938,1
5.75,10332,4
3.9800000190000002,8259,3
4.449999928,12158,3
1.320000052,7709,2
4.090000033,10466,3
1.529999971,5576,1
10.03000009,39337,7
4.25,13479,3
20.29000032,57022,13
1.389999986,5453,1
4.440000057,11803,3
1.570000052,4259,1
1.289999962,5323,1
1.409999967,5024,1
33.33000004,104648,24
3.340000093,8504,3
8.050000072,20277,6
5.2100000380000004,12403,4
2.349999964,6907,2
19.32999957,39035,13
1.450000048,4412,1
4.050000072,9965,3
32.97999978,73634,23
31.28999949,69708,20
8.789999962,14257,6
9.119999886,20362,5
6.26000011,12215,4
38.63999999,85412,28
0.239999995,2338,1
1.090000033,3891,1
2.680000067,11199,2
3.00999999,5676,2
1.580000043,2148,1
14.06000042,45401,10
2.9000000950000002,7478,2
1.590000033,4919,1
4.590000153,17553,3
0.540000021,3343,1
13.41000009,34740,7
0.860000014,3010,1
10.77000046,27081,9
5.590000153,20233,4
58.16000044,147159,36
10.61999977,21664,7
5.4600000380000004,9112,4
20.17999983,46150,15
176.3799977,493821,116
34.39000046,92011,27
5.49000001,12956,4
1.419999957,944,1
51.97000027,111090,38
3.1900000569999998,7208,2
1.960000038,12489,2
0.600000024,8032,1
1.149999976,4607,1
3.180000067,13355,2
0.980000019,2793,1
1.480000049,4016,2
2.939999938,14843,3
4.600000024,9674,3
2.669999957,12186,2
10.96000051,31393,8
2.359999895,8410,2
7.350000143,25884,5
9.340000033,28488,10
4.6199998860000004,10126,3
8.5,22572,5
2.420000076,4868,2
2.950000048,6585,2
3.720000029,10164,2
4.449999809,11182,4
13.07000017,34127,8
10.84999967,29466,7
10.84999967,38759,9
12.06000006,41720,10
8.860000134,18602,5
27.72999954,83929,21
7.349999905,25194,6
26.53000045,78627,19
39.42999983,102695,25
47.93000031,82827,24
6.0399999619999996,9240,3
2.369999886,7706,2
6.340000153,7821,4
53.21999949,119063,34
35.79999948,99078,23
180.2200012,452398,114
76.41000056,191223,48
9.549999952,22216,6
18.01999998,48291,11
13.37,27559,8
4.590000033,10194,4
25.86000001,40126,16
0.49000001,3659,1
1.679999948,7550,1
25.41999936,45397,15
3.310000062,23086,2
1.549999952,16425,1
5.439999938,43756,5
81.60999787,175389,55
4.98999989,12706,3
31.7099998,70702,20
25.52000046,63927,16
4.25999999,15105,3
1.830000043,8774,1
1.389999986,14459,1
2.8099999430000002,21596,2
11.04999971,66765,8
7.229999781,26910,5
4.269999862,11988,3
9.4799999,19353,6
2.890000105,10960,2
10.56999969,33491,6
3.200000048,20083,2
0.970000029,15466,1
4.370000005,27072,3
0.569999993,15753,1
1.809999943,3523,1
3.319999933,18709,2
1.179999948,7966,1
4.730000019,12785,3
1.379999995,8213,1
1.25999999,2479,1
3.049999952,3812,2
3.579999924,10257,3
6.279999971,12356,4
1.210000038,7410,1
46.63000011,140098,28
34.44000012,107021,20
1.289999962,2797,1
9.21999979,16461,6
7.719999909,17488,5
1.5,9750,2
0.180000007,4333,1
5.389999866,11292,3
5.779999852,12729,4
0.99000001,2883,1
1.279999971,3989,1
5.279999971,19603,4
1.379999995,3047,1
1.049999952,3029,1
1.340000033,3490,1
10.42999983,19581,7
6.099999905,19537,5
19.65999949,59433,12
56.19000077,157534,33
6.029999852,23769,4
1.830000043,4726,1
0.959999979,5209,1
2.619999945,13473,3
1.360000014,4616,1
6.050000191,14615,4
19.88000035,56615,12
4.529999971,11735,3
6.779999852,15910,5
3.090000033,11446,2
3.140000105,9388,2
7.5400002,17954,6
0.99000001,8152,1
34.1500001,74542,19
3.090000033,6699,2
3.959999919,11911,4
2.6500000950000002,10090,2
8.179999828,24188,5
4.1300001139999996,9735,4
5.389999866,10750,4
0.720000029,7629,1
1.679999948,7453,1
19.10000038,41785,14
3.579999924,8077,2
1.580000043,5602,1
2.75,6184,2
41.29000068,112460,25
9.410000324,14670,7
13.40999985,33144,9
0.949999988,4397,1
32.28999996,89527,24
1.730000019,7116,2
0.889999986,8613,1
1.379999995,9730,1
10.2299999,51816,8
4.429999828,27289,3
3.829999924,20409,4
1.110000014,8044,1
5.349999905,15645,4
3.950000048,11611,3
4.019999981,9375,3
1.330000043,4402,1
3.089999914,8469,2
1.419999957,5823,1
