species,mass_g,length_cm
Bream,242,23.2
Bream,290,24
Bream,340,23.9
Bream,363,26.3
Bream,430,26.5
Bream,450,26.8
Bream,500,26.8
Bream,390,27.6
Bream,450,27.6
Bream,500,28.5
Bream,475,28.4
Bream,500,28.7
Bream,500,29.1
Bream,340,29.5
Bream,600,29.4
Bream,600,29.4
Bream,700,30.4
Bream,700,30.4
Bream,610,30.9
Bream,650,31
Bream,575,31.3
Bream,685,31.4
Bream,620,31.5
Bream,680,31.8
Bream,700,31.9
Bream,725,31.8
Bream,720,32
Bream,714,32.7
Bream,850,32.8
Bream,1000,33.5
Bream,920,35
Bream,955,35
Bream,925,36.2
Bream,975,37.4
Bream,950,38
Roach,40,12.9
Roach,69,16.5
Roach,78,17.5
Roach,87,18.2
Roach,120,18.6
Roach,0,19
Roach,110,19.1
Roach,120,19.4
Roach,150,20.4
Roach,145,20.5
Roach,160,20.5
Roach,140,21
Roach,160,21.1
Roach,169,22
Roach,161,22
Roach,200,22.1
Roach,180,23.6
Roach,290,24
Roach,272,25
Roach,390,29.5
Perch,5.9,7.5
Perch,32,12.5
Perch,40,13.8
Perch,51.5,15
Perch,70,15.7
Perch,100,16.2
Perch,78,16.8
Perch,80,17.2
Perch,85,17.8
Perch,85,18.2
Perch,110,19
Perch,115,19
Perch,125,19
Perch,130,19.3
Perch,120,20
Perch,120,20
Perch,130,20
Perch,135,20
Perch,110,20
Perch,130,20.5
Perch,150,20.5
Perch,145,20.7
Perch,150,21
Perch,170,21.5
Perch,225,22
Perch,145,22
Perch,188,22.6
Perch,180,23
Perch,197,23.5
Perch,218,25
Perch,300,25.2
Perch,260,25.4
Perch,265,25.4
Perch,250,25.4
Perch,250,25.9
Perch,300,26.9
Perch,320,27.8
Perch,514,30.5
Perch,556,32
Perch,840,32.5
Perch,685,34
Perch,700,34
Perch,700,34.5
Perch,690,34.6
Perch,900,36.5
Perch,650,36.5
Perch,820,36.6
Perch,850,36.9
Perch,900,37
Perch,1015,37
Perch,820,37.1
Perch,1100,39
Perch,1000,39.8
Perch,1100,40.1
Perch,1000,40.2
Perch,1000,41.1
Pike,200,30
Pike,300,31.7
Pike,300,32.7
Pike,300,34.8
Pike,430,35.5
Pike,345,36
Pike,456,40
Pike,510,40
Pike,540,40.1
Pike,500,42
Pike,567,43.2
Pike,770,44.8
Pike,950,48.3
Pike,1250,52
Pike,1600,56
Pike,1550,56
Pike,1650,59
