dist_to_mrt_m,n_convenience,house_age_years,price_twd_msq
84.87882,10,30 to 45,11.467473524962026
306.5947,9,15 to 30,12.768532526474868
561.9845,5,0 to 15,14.31164901664126
561.9845,5,0 to 15,16.58093797276831
390.5684,5,0 to 15,13.040847201210115
2175.03,3,0 to 15,9.712556732223774
623.4731,7,30 to 45,12.19364599092268
287.6025,6,15 to 30,14.130105900151099
5512.038,1,30 to 45,5.688350983358472
1783.18,3,15 to 30,6.686838124054374
405.2134,1,30 to 45,12.526475037821315
90.45606,9,0 to 15,17.579425113464215
492.2313,5,0 to 15,11.891074130105741
2469.645,4,15 to 30,7.201210287443172
1164.838,4,0 to 15,10.37821482602104
579.2083,2,30 to 45,15.279878971255469
292.9978,6,0 to 15,21.210287443267493
350.8515,1,15 to 30,11.316187594553554
368.1363,8,15 to 30,12.79878971255656
23.38284,7,0 to 15,14.432677760968039
2275.877,3,0 to 15,8.865355521936342
279.1726,7,0 to 15,15.612708018154104
1360.139,1,0 to 15,7.443267776096724
279.1726,7,0 to 15,14.493192133131425
480.6977,4,30 to 45,11.739788199697271
1487.868,2,15 to 30,8.16944024205738
383.8624,5,0 to 15,17.00453857791203
276.449,5,0 to 15,10.166414523449184
557.478,4,15 to 30,14.22087745839618
451.2438,5,0 to 15,17.276853252647275
4519.69,0,15 to 30,6.686838124054374
769.4034,7,15 to 30,7.5642965204234995
488.5727,1,30 to 45,10.347957639939349
323.655,6,15 to 30,14.91679273827514
205.367,7,15 to 30,16.671709531013395
4079.418,0,0 to 15,8.260211800302462
1935.009,2,0 to 15,6.928895612707925
1360.139,1,0 to 15,7.655068078668582
577.9615,6,0 to 15,14.432677760968039
289.3248,5,15 to 30,13.978819969742629
4082.015,0,0 to 15,4.810892586989346
4066.587,0,15 to 30,5.506807866868307
519.4617,5,30 to 45,10.499243570347819
512.7871,6,30 to 45,10.317700453857654
533.4762,4,0 to 15,16.308623298033066
488.8193,8,30 to 45,11.588502269288801
463.9623,9,15 to 30,12.70801815431148
640.7391,3,30 to 45,18.60816944024181
4605.749,0,15 to 30,4.054462934946996
4510.359,1,15 to 30,3.9939485627836078
512.5487,4,15 to 30,13.373676248108747
1758.406,1,30 to 45,6.263237518910658
1438.579,3,30 to 45,8.16944024205738
492.2313,5,0 to 15,11.770045385778966
289.3248,5,15 to 30,15.642965204235798
1160.632,0,30 to 45,4.145234493192078
371.2495,8,30 to 45,12.677760968229785
56.47425,7,0 to 15,16.18759455370629
4510.359,1,30 to 45,6.8381240544628445
336.0532,5,0 to 15,12.829046898638255
1931.207,2,0 to 15,6.444780635400822
259.6607,6,0 to 15,19.12254160363061
2175.877,3,15 to 30,8.381240544629238
533.4762,4,0 to 15,16.6414523449317
995.7554,0,15 to 30,7.655068078668582
123.7429,8,30 to 45,13.40393343419044
193.5845,6,0 to 15,15.340393343418858
104.8101,5,0 to 15,17.18608169440219
464.223,6,30 to 45,10.953101361573228
561.9845,5,0 to 15,12.70801815431148
90.45606,9,0 to 15,17.85173978819946
640.7391,3,30 to 45,12.34493192133115
424.5442,8,30 to 45,10.983358547654921
4082.015,0,0 to 15,6.051437216338799
379.5575,10,0 to 15,16.459909228441536
1360.139,1,0 to 15,8.92586989409973
616.4004,3,30 to 45,11.134644478063391
