,Unnamed: 0,country,social_support,freedom,corruption,generosity,gdp_per_cap,life_exp,happiness_score,grams_sugar_per_day
0,1,Finland,2,5,4.0,47,42400,81.8,155,86.8
1,2,Denmark,4,6,3.0,22,48300,81.0,154,152.0
2,3,Norway,3,3,8.0,11,66300,82.6,153,120.0
3,4,Iceland,1,7,45.0,3,47900,83.0,152,132.0
4,5,Netherlands,15,19,12.0,7,50500,81.8,151,122.0
5,6,Switzerland,13,11,7.0,16,59000,84.3,150,166.0
6,7,Sweden,25,10,6.0,17,47200,82.8,149,115.0
7,8,New Zealand,5,8,5.0,8,36500,81.9,148,162.0
8,9,Canada,20,9,11.0,14,44200,82.2,147,132.0
9,10,Austria,31,26,19.0,25,46900,82.0,146,124.0
10,11,Australia,7,17,13.0,6,45500,82.7,145,126.0
11,12,Costa Rica,42,16,58.0,75,15800,79.8,144,144.0
12,13,Israel,38,93,74.0,24,34100,83.3,143,76.2
13,14,Luxembourg,27,28,9.0,30,94300,82.0,142,141.0
14,15,United Kingdom,9,63,15.0,4,40400,81.1,141,113.0
15,16,Ireland,6,33,10.0,9,72400,82.3,140,126.0
16,17,Germany,39,44,17.0,19,46200,80.9,139,133.0
17,18,Belgium,22,53,20.0,44,43500,81.7,138,144.0
18,19,United States,37,62,42.0,12,56700,78.6,137,175.0
19,20,Czech Republic,24,58,121.0,117,34100,79.5,136,118.0
20,21,United Arab Emirates,72,4,,15,65700,73.6,135,101.0
21,22,Malta,16,12,32.0,5,39300,81.3,134,168.0
22,23,Mexico,67,71,87.0,120,18000,75.6,133,133.0
23,24,France,32,69,21.0,68,40000,83.1,132,107.0
24,25,Chile,58,98,99.0,45,23000,80.0,130,131.0
25,26,Guatemala,78,25,82.0,78,7610,73.1,129,132.0
26,27,Saudi Arabia,62,68,,82,48100,77.1,128,86.8
27,28,Spain,26,95,78.0,50,35700,83.3,126,85.6
28,29,Panama,41,32,104.0,88,23300,79.7,125,95.3
29,30,Brazil,43,84,71.0,108,14300,75.9,124,117.0
30,31,Uruguay,35,30,33.0,80,20900,77.3,123,111.0
31,32,El Salvador,83,74,85.0,134,7510,74.5,121,113.0
32,33,Italy,23,132,128.0,48,35800,83.5,120,88.0
33,34,Trinidad and Tobago,29,51,141.0,41,28500,74.5,117,162.0
34,35,Poland,44,52,108.0,77,29900,78.4,116,122.0
35,36,Uzbekistan,11,1,18.0,29,6490,70.7,115,27.6
36,37,Lithuania,17,122,113.0,124,32400,75.4,114,130.0
37,38,Colombia,52,56,124.0,111,13600,80.5,113,160.0
38,39,Slovenia,14,13,97.0,54,33700,81.4,112,75.1
39,40,Nicaragua,66,70,43.0,71,4620,79.2,111,116.0
40,41,Argentina,46,54,109.0,123,17500,77.0,109,132.0
41,42,Romania,86,57,146.0,102,25500,75.4,108,70.1
42,43,Cyprus,90,81,115.0,39,34500,82.0,107,101.0
43,44,Ecuador,71,42,68.0,95,10200,77.2,106,63.3
44,45,Kuwait,69,47,,42,64100,83.3,105,106.0
45,46,Thailand,53,18,131.0,10,17400,78.6,104,109.0
46,47,Latvia,34,126,92.0,105,27300,75.4,103,117.0
47,48,South Korea,91,144,100.0,40,37300,83.0,102,105.0
48,49,Estonia,12,45,30.0,83,32000,78.5,101,86.5
49,50,Jamaica,28,49,130.0,119,8310,74.9,100,135.0
50,51,Mauritius,54,40,96.0,37,21800,75.0,99,96.0
51,52,Japan,50,64,39.0,92,39700,84.5,98,74.2
52,53,Honduras,84,39,79.0,51,4630,74.3,97,131.0
53,54,Kazakhstan,19,80,57.0,57,25400,72.8,96,78.4
54,55,Bolivia,93,35,91.0,104,7150,73.3,95,75.2
55,56,Hungary,51,138,140.0,100,29600,77.2,94,95.0
56,57,Paraguay,30,34,76.0,67,12000,76.4,93,69.6
57,58,Peru,77,61,132.0,126,13000,80.8,91,62.9
58,59,Portugal,47,37,135.0,122,29300,81.8,90,78.0
59,60,Pakistan,130,114,55.0,58,5000,67.2,89,76.0
60,61,Russia,40,107,127.0,101,25700,72.5,88,134.0
61,62,Philippines,75,15,49.0,115,8260,70.0,87,64.6
62,63,Serbia,57,124,118.0,84,16700,76.0,86,77.1
63,64,Moldova,65,128,148.0,86,6720,73.1,85,64.6
64,65,Montenegro,60,139,77.0,76,17800,76.7,83,131.0
65,66,Tajikistan,113,86,35.0,72,3150,70.8,82,51.9
