,data_values
0,-0.0069698435
1,-0.0079529025
2,-0.00890346
3,-0.009798353
4,-0.010616516
5,-0.011340003
6,-0.011954754
7,-0.012451224
8,-0.012824794
9,-0.013075813
10,-0.013209493
11,-0.013235515
12,-0.013167373
13,-0.013021582
14,-0.012816701
15,-0.012572314
16,-0.01230799
17,-0.0120422775
18,-0.011791798
19,-0.011570519
20,-0.0113891605
21,-0.011254892
22,-0.011171219
23,-0.01113805
24,-0.011152053
25,-0.011207137
26,-0.011295062
27,-0.011406184
28,-0.011530196
29,-0.011656871
30,-0.01177675
31,-0.011881714
32,-0.0119654555
33,-0.0120237265
34,-0.012054483
35,-0.012057827
36,-0.012035825
37,-0.011992151
38,-0.011931714
39,-0.011860133
40,-0.011783264
41,-0.011706703
42,-0.011635395
43,-0.011573247
44,-0.011522916
45,-0.011485704
46,-0.011461533
47,-0.011449089
48,-0.011446037
49,-0.011449297
50,-0.011455396
51,-0.011460858
52,-0.011462493
53,-0.011457755
54,-0.011444938
55,-0.01142338
56,-0.011393467
57,-0.011356621
58,-0.011315174
59,-0.0112721175
60,-0.011230852
61,-0.011194849
62,-0.011167344
63,-0.011150992
64,-0.011147625
65,-0.01115801
66,-0.011181741
67,-0.011217182
68,-0.0112615395
69,-0.011310956
70,-0.0113608185
71,-0.0114059355
72,-0.011440949
73,-0.011460608
74,-0.011460175
75,-0.011435665
76,-0.011384152
77,-0.01130391
78,-0.011194537
79,-0.011056967
80,-0.010893395
81,-0.010707119
82,-0.010502327
83,-0.010283826
84,-0.010056761
85,-0.009826311
86,-0.009597376
87,-0.00937436
88,-0.009160934
89,-0.008959902
90,-0.008773128
91,-0.008601504
92,-0.008445045
93,-0.008302961
94,-0.008173862
95,-0.0080559
96,-0.007947034
97,-0.0078451475
98,-0.0077482904
99,-0.0076547917
100,-0.00756338
101,-0.007473208
102,-0.0073838523
103,-0.007295282
104,-0.00720777
105,-0.0071217734
106,-0.007037781
107,-0.0069561903
108,-0.0068771555
109,-0.006800487
110,-0.0067255725
111,-0.0066513084
112,-0.006576104
113,-0.0064979433
114,-0.0064144484
115,-0.0063230167
116,-0.0062209424
117,-0.0061055794
118,-0.0059744962
119,-0.005825624
120,-0.0056573884
121,-0.0054687825
122,-0.00525942
123,-0.005029583
124,-0.004780169
125,-0.0045126495
126,-0.0042289617
127,-0.003931396
128,-0.0036224525
129,-0.0033047122
130,-0.0029807088
131,-0.0026527806
132,-0.0023229758
133,-0.0019930014
134,-0.00166418
135,-0.0013374385
136,-0.0010133359
137,-0.0006921053
138,-0.00037373128
139,-5.802238e-05
140,0.00025528498
141,0.00056647614
142,0.0008757892
143,0.0011833358
144,0.0014890805
145,0.0017928277
146,0.0020942371
147,0.002392853
148,0.00268815
149,0.0029795913
150,0.0032666784
151,0.0035490373
152,0.003826468
153,0.0040989676
154,0.004366749
155,0.0046302495
156,0.004890122
157,0.0051471796
158,0.00540237
159,0.0056566843
