tv,radio,social_media,influencer,sales
16000.0,6566.23,2907.98,Mega,54732.76
13000.0,9237.76,2409.57,Mega,46677.9
41000.0,15886.45,2913.41,Mega,150177.83
83000.0,30020.03,6922.3,Mega,298246.34
15000.0,8437.41,1406.0,Micro,56594.18
29000.0,9614.38,1027.16,Mega,105889.15
55000.0,24893.81,4273.6,Micro,198679.82
31000.0,17355.04,2289.85,Nano,108733.93
76000.0,24648.9,7130.12,Macro,270189.4
13000.0,431.13,2229.42,Mega,48280.58
62000.0,24345.19,5151.48,Nano,224961.02
42000.0,15807.34,3194.92,Mega,145543.99
64000.0,20240.42,3921.15,Micro,229632.38
34000.0,226.33,2372.71,Nano,121336.42
36000.0,3900.2,60.4,Nano,123526.11
60000.0,22353.72,940.8,Mega,212764.4
25000.0,9905.84,1853.22,Micro,89819.92
100000.0,36116.09,3674.3,Macro,353804.64
92000.0,40736.99,4636.56,Nano,329350.54
46000.0,12695.09,3884.58,Macro,162191.33
78000.0,35568.22,2832.45,Macro,276401.34
37000.0,2828.97,4556.7,Micro,128484.66
99000.0,37263.82,6886.53,Nano,349861.58
75000.0,20348.99,1227.18,Micro,272250.11
54000.0,27807.61,4060.78,Nano,192461.91
27000.0,7280.09,2179.48,Micro,96749.37
21000.0,9282.69,3055.76,Mega,76992.93
40000.0,13050.41,1971.18,Nano,139288.79
67000.0,24137.62,5573.09,Mega,234851.03
90000.0,29021.02,6432.0,Micro,323032.18
12000.0,3567.66,3558.31,Nano,40792.2
81000.0,27335.78,5263.65,Micro,290777.57
43000.0,16348.71,2814.01,Mega,150626.49
47000.0,17376.53,1905.04,Mega,161785.15
43000.0,18230.19,4079.29,Nano,155599.2
75000.0,23626.24,6199.77,Mega,263020.69
79000.0,23510.57,2188.93,Macro,281578.94
65000.0,24563.55,3419.67,Macro,231670.05
43000.0,12842.13,2593.7,Macro,148706.97
82000.0,27647.59,5611.22,Macro,294952.42
68000.0,21639.2,3223.65,Micro,242824.88
98000.0,37570.95,8529.6,Mega,351773.07
26000.0,10599.53,679.28,Macro,91922.3
10000.0,6145.25,1591.12,Macro,32566.83
32000.0,627.62,2676.08,Micro,115262.57
29000.0,8852.09,41.49,Macro,101873.1
32000.0,11524.15,2566.79,Mega,111899.71
29000.0,14434.11,463.28,Macro,104352.67
91000.0,40108.53,7236.17,Mega,326381.71
83000.0,34281.41,8697.49,Nano,300730.53
72000.0,23922.7,3373.81,Mega,255155.17
47000.0,24169.13,2087.91,Micro,161717.09
10000.0,3455.87,2400.12,Micro,39625.68
49000.0,10067.63,1729.67,Macro,169008.11
14000.0,5197.86,413.97,Mega,50988.48
20000.0,10750.05,2442.17,Macro,70471.72
17000.0,10447.45,3356.11,Nano,58590.09
68000.0,29892.74,6096.74,Mega,237772.16
91000.0,25045.56,6109.37,Macro,322100.5
52000.0,17113.24,2638.64,Mega,181079.61
41000.0,3921.54,2527.85,Nano,145919.2
65000.0,11656.49,358.47,Micro,228564.65
82000.0,31607.69,3952.45,Mega,288982.24
14000.0,18649.44,4529.93,Mega,49815.67
84000.0,31266.41,8080.73,Nano,299099.05
99000.0,30140.57,6546.16,Mega,351359.89
15000.0,2234.29,1077.72,Mega,55009.71
64000.0,24698.52,6741.38,Micro,223099.15
70000.0,15247.73,4587.7,Macro,247139.4
77000.0,26822.35,5514.19,Nano,274707.1
81000.0,20391.95,3212.25,Macro,289175.76
46000.0,17790.13,4117.63,Micro,168036.54
56000.0,25276.09,3239.27,Mega,198321.52
98000.0,33055.16,6063.46,Mega,349745.3
47000.0,18233.96,827.55,Mega,166137.22
18000.0,8808.7,2414.19,Nano,59289.32
77000.0,22955.31,2642.5,Mega,272632.14
22000.0,6041.73,2136.63,Mega,77417.32
99000.0,37717.81,3590.09,Nano,349423.97
36000.0,9096.78,3818.83,Mega,127092.67
12000.0,1648.2,1305.73,Mega,43065.09
94000.0,47116.29,9322.96,Micro,336593.42
97000.0,39232.31,3698.66,Nano,345313.16
44000.0,16912.03,4034.66,Macro,154206.56
86000.0,31521.9,6398.28,Mega,304743.77
93000.0,33059.45,5789.3,Micro,335209.07
30000.0,10645.11,1915.52,Macro,104180.97
32000.0,758.07,2359.2,Mega,112269.69
29000.0,2172.6,4208.32,Mega,103634.87
72000.0,25406.6,3215.46,Micro,262401.17
14000.0,8001.27,4187.83,Micro,51442.98
95000.0,38415.22,7673.64,Micro,336760.63
20000.0,3934.78,328.47,Nano,72625.9
49000.0,24359.04,3797.37,Nano,174198.14
29000.0,11213.69,558.84,Macro,98999.64
39000.0,13187.26,2766.35,Macro,140415.29
87000.0,33707.9,3327.27,Nano,309361.67
38000.0,9437.71,4377.59,Mega,133565.49
43000.0,9726.74,338.0,Macro,152254.67
30000.0,8421.99,3279.48,Macro,112308.11
93000.0,19956.39,2261.41,Mega,333579.11
86000.0,25260.71,6765.66,Nano,307619.09
63000.0,26035.99,3290.82,Nano,225486.23
93000.0,28038.21,2924.28,Nano,333966.43
94000.0,32146.21,4610.93,Macro,334645.92
63000.0,21846.54,2642.41,Macro,222468.31
30000.0,17469.02,4337.63,Nano,105185.31
