,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
36506,60.0,0.8959999999999999,0.726,214547.0,0.177,2.14e-06,0.1159999999999999,-14.824000000000002,0.0353,92.934,0.618,1
37591,63.0,0.0038399999999999,0.635,190448.0,0.9079999999999999,0.0834,0.239,-4.795,0.0563,110.012,0.637,1
37658,59.0,7.509999999999998e-05,0.35200000000000004,456320.0,0.956,0.0203,0.125,-3.634,0.149,122.897,0.228,1
36060,54.0,0.945,0.488,352280.0,0.326,0.0157,0.11900000000000001,-12.02,0.0328,106.06299999999999,0.3229999999999999,1
35710,55.0,0.245,0.667,273693.0,0.647,0.000297,0.0633,-7.787000000000001,0.0487,143.995,0.3,1
35111,62.0,0.0108,0.743,243333.0,0.67,0.0702,0.22,-4.547,0.0293,110.83200000000001,0.934,1
35594,58.0,0.00107,0.5,207173.0,0.836,4.03e-05,0.1969999999999999,-6.165,0.0454,90.01100000000001,0.41,1
37473,74.0,0.0764,0.6859999999999999,200467.0,0.7829999999999999,0.0,0.163,-4.977,0.11900000000000001,119.95296059529068,0.8140000000000001,1
37418,64.0,0.0027199999999999,0.235,227296.0,0.86,0.0969,0.3879999999999999,-2.842,0.0561,127.788,0.342,1
36605,55.0,0.122,0.5,173773.0,0.8540000000000001,0.0,0.0794,-5.151,0.0945,94.96,0.4039999999999999,1
37469,53.0,0.263,0.2,310933.0,0.434,0.0,0.1169999999999999,-14.274000000000001,0.0294,83.876,0.37,1
35233,61.0,0.608,0.6729999999999999,117013.0,0.349,0.0,0.38,-12.414000000000001,0.0368,124.45100000000001,0.609,1
35920,59.0,0.19,0.444,206173.0,0.56,0.0,0.1169999999999999,-5.1789999999999985,0.0267,172.22400000000002,0.34,1
35799,67.0,0.0102,0.68,233947.0,0.536,0.00105,0.113,-6.669,0.0582,119.958,0.41700000000000004,1
